N,P,K,temperature,humidity,ph,rainfall,label
38.0,72.0,21.0,28.234,49.442,5.902,186.5,pigeonpeas
9.0,66.0,21.0,30.118,34.133,5.719,157.085,pigeonpeas
34.0,56.0,17.0,33.412,35.429,4.548,139.67,pigeonpeas
1.0,76.0,19.0,24.185,46.687,6.669,177.337,pigeonpeas
6.0,69.0,19.0,26.886,41.696,4.75,94.467,pigeonpeas
26.0,73.0,21.0,31.331,57.974,4.946,161.782,pigeonpeas
27.0,61.0,18.0,33.307,67.077,5.266,108.509,pigeonpeas
27.0,71.0,23.0,23.453,46.487,7.109,150.871,pigeonpeas
36.0,61.0,21.0,34.538,39.044,5.617,168.594,pigeonpeas
17.0,73.0,18.0,19.501,34.51,5.632,197.375,pigeonpeas
26.0,72.0,22.0,28.767,37.577,4.674,91.72,pigeonpeas
17.0,64.0,16.0,30.977,32.249,7.161,180.716,pigeonpeas
14.0,74.0,19.0,18.397,36.826,6.624,93.123,pigeonpeas
39.0,60.0,15.0,35.093,30.986,5.004,116.91,pigeonpeas
6.0,66.0,15.0,34.931,30.4,6.345,159.264,pigeonpeas
8.0,59.0,18.0,29.505,35.72,6.216,187.896,pigeonpeas
2.0,67.0,18.0,34.519,47.529,5.921,129.006,pigeonpeas
1.0,76.0,17.0,28.434,52.1,6.012,147.041,pigeonpeas
16.0,73.0,19.0,18.416,34.805,4.684,163.274,pigeonpeas
23.0,75.0,25.0,31.075,47.198,7.077,91.312,pigeonpeas
32.0,70.0,20.0,20.893,46.248,6.208,195.569,pigeonpeas
28.0,59.0,22.0,30.906,52.799,7.051,170.991,pigeonpeas
5.0,62.0,23.0,27.934,66.454,4.722,145.372,pigeonpeas
36.0,67.0,25.0,35.951,36.527,6.418,136.045,pigeonpeas
1.0,66.0,23.0,19.543,56.928,4.803,173.168,pigeonpeas
24.0,73.0,20.0,19.637,32.315,4.608,176.413,pigeonpeas
17.0,67.0,18.0,31.219,56.468,5.611,129.202,pigeonpeas
5.0,55.0,18.0,33.508,45.709,7.322,126.673,pigeonpeas
5.0,56.0,24.0,24.807,45.011,5.023,188.492,pigeonpeas
37.0,77.0,17.0,36.209,31.945,5.617,191.065,pigeonpeas
13.0,73.0,20.0,30.504,35.488,5.391,162.592,pigeonpeas
6.0,63.0,23.0,26.016,49.947,5.906,160.333,pigeonpeas
16.0,77.0,22.0,31.484,35.639,6.574,100.546,pigeonpeas
25.0,64.0,20.0,33.151,32.459,4.807,105.038,pigeonpeas
34.0,75.0,24.0,23.502,51.29,4.76,192.302,pigeonpeas
20.0,77.0,23.0,34.872,38.837,5.18,148.25,pigeonpeas
35.0,80.0,25.0,28.092,44.933,4.895,197.114,pigeonpeas
14.0,75.0,24.0,24.547,57.341,6.436,118.36,pigeonpeas
36.0,80.0,21.0,33.647,48.414,7.066,100.467,pigeonpeas
7.0,77.0,18.0,20.559,60.548,6.655,191.089,pigeonpeas
29.0,78.0,25.0,19.959,59.331,5.982,195.787,pigeonpeas
30.0,60.0,21.0,28.876,62.49,5.457,182.268,pigeonpeas
20.0,74.0,16.0,36.043,43.614,4.759,159.893,pigeonpeas
19.0,57.0,23.0,23.673,47.287,7.342,141.125,pigeonpeas
3.0,60.0,19.0,25.746,40.719,4.82,100.779,pigeonpeas
5.0,77.0,19.0,31.085,66.688,6.242,175.93,pigeonpeas
5.0,68.0,20.0,18.729,61.331,5.001,139.871,pigeonpeas
37.0,73.0,21.0,29.503,63.465,5.56,189.52,pigeonpeas
9.0,59.0,24.0,20.435,39.372,4.747,137.227,pigeonpeas
20.0,72.0,15.0,36.004,56.013,7.313,134.859,pigeonpeas
31.0,56.0,23.0,31.468,35.394,5.661,174.572,pigeonpeas
0.0,70.0,21.0,36.3,56.03,4.672,101.607,pigeonpeas
21.0,74.0,15.0,29.49,67.106,6.471,153.25,pigeonpeas
13.0,67.0,18.0,30.575,34.755,5.384,177.576,pigeonpeas
27.0,74.0,20.0,24.694,59.966,5.859,91.957,pigeonpeas
29.0,72.0,24.0,23.174,36.678,6.962,162.593,pigeonpeas
5.0,68.0,20.0,19.043,33.106,6.121,155.37,pigeonpeas
39.0,57.0,19.0,29.323,45.932,6.421,165.411,pigeonpeas
22.0,62.0,16.0,34.645,54.323,4.828,180.9,pigeonpeas
18.0,55.0,23.0,21.998,56.31,6.985,136.827,pigeonpeas
39.0,77.0,21.0,22.997,60.242,4.603,159.689,pigeonpeas
13.0,75.0,20.0,30.559,35.29,6.979,178.899,pigeonpeas
27.0,71.0,24.0,31.464,48.176,7.064,165.405,pigeonpeas
26.0,64.0,22.0,25.95,40.582,5.165,109.182,pigeonpeas
23.0,55.0,16.0,21.011,69.691,5.111,185.203,pigeonpeas
4.0,69.0,19.0,19.251,47.703,5.374,149.063,pigeonpeas
20.0,67.0,19.0,19.244,50.544,5.671,180.646,pigeonpeas
7.0,74.0,17.0,22.472,62.565,5.667,96.747,pigeonpeas
17.0,64.0,18.0,36.75,58.257,6.079,124.602,pigeonpeas
35.0,71.0,17.0,29.892,66.353,6.931,198.14,pigeonpeas
11.0,72.0,22.0,29.377,44.822,6.842,172.401,pigeonpeas
20.0,60.0,22.0,29.65,42.898,6.876,186.922,pigeonpeas
10.0,71.0,18.0,19.542,66.347,6.151,173.11,pigeonpeas
33.0,61.0,24.0,20.046,48.939,4.567,122.456,pigeonpeas
3.0,49.0,18.0,27.91,64.709,3.692,32.678,mothbeans
22.0,59.0,23.0,27.322,51.278,4.371,36.503,mothbeans
36.0,58.0,25.0,28.66,59.318,8.399,36.926,mothbeans
4.0,43.0,18.0,29.029,61.093,8.84,72.98,mothbeans
29.0,54.0,16.0,27.78,54.65,8.153,32.05,mothbeans
32.0,43.0,22.0,31.999,54.107,5.27,71.626,mothbeans
14.0,55.0,15.0,27.335,55.277,8.05,73.447,mothbeans
5.0,35.0,20.0,28.929,53.57,9.679,66.356,mothbeans
25.0,57.0,24.0,27.654,58.599,6.974,36.942,mothbeans
11.0,53.0,24.0,28.523,55.772,7.393,61.329,mothbeans
40.0,49.0,17.0,31.022,45.892,6.687,53.567,mothbeans
38.0,56.0,25.0,25.74,45.384,7.881,67.434,mothbeans
27.0,43.0,23.0,31.704,56.854,5.875,44.943,mothbeans
24.0,38.0,22.0,24.478,58.516,8.202,34.969,mothbeans
23.0,45.0,21.0,31.465,51.799,8.985,74.443,mothbeans
29.0,57.0,20.0,25.609,50.733,5.877,53.392,mothbeans
31.0,35.0,23.0,30.302,47.182,7.707,68.04,mothbeans
0.0,55.0,25.0,28.174,43.667,4.524,45.781,mothbeans
7.0,45.0,22.0,25.506,44.83,9.926,74.326,mothbeans
17.0,58.0,25.0,31.128,43.587,6.455,32.767,mothbeans
11.0,44.0,17.0,26.34,55.591,8.016,35.105,mothbeans
22.0,49.0,22.0,28.234,61.562,3.711,72.666,mothbeans
9.0,51.0,19.0,27.044,49.326,5.49,48.252,mothbeans
28.0,48.0,15.0,25.161,55.254,9.254,40.897,mothbeans
26.0,50.0,19.0,27.317,51.669,6.005,32.559,mothbeans
36.0,56.0,20.0,25.412,49.664,7.437,31.874,mothbeans
8.0,60.0,18.0,31.216,46.018,3.808,53.12,mothbeans
24.0,37.0,21.0,30.573,58.226,5.818,62.748,mothbeans
22.0,43.0,24.0,25.425,53.22,4.523,46.193,mothbeans
36.0,43.0,24.0,27.094,43.653,3.51,41.537,mothbeans
22.0,44.0,24.0,24.309,56.329,6.03,58.995,mothbeans
17.0,43.0,22.0,30.061,45.9,5.498,41.055,mothbeans
8.0,45.0,15.0,28.095,60.983,4.611,33.841,mothbeans
7.0,56.0,23.0,26.339,40.009,5.545,55.504,mothbeans
36.0,57.0,16.0,28.614,57.142,8.292,57.028,mothbeans
11.0,45.0,19.0,28.7,44.359,3.828,44.116,mothbeans
6.0,36.0,22.0,24.216,59.792,8.869,42.247,mothbeans
17.0,57.0,20.0,28.506,45.2,3.793,66.176,mothbeans
4.0,47.0,20.0,25.979,64.955,4.193,72.192,mothbeans
9.0,49.0,16.0,30.884,41.365,7.661,55.053,mothbeans
25.0,51.0,24.0,25.504,61.668,9.392,65.079,mothbeans
36.0,44.0,21.0,25.125,51.331,4.516,38.486,mothbeans
21.0,38.0,20.0,27.105,63.567,5.794,62.202,mothbeans
37.0,57.0,20.0,31.1,44.82,7.354,70.799,mothbeans
32.0,48.0,18.0,26.457,56.402,5.993,64.161,mothbeans
29.0,44.0,20.0,30.041,63.562,8.62,31.831,mothbeans
25.0,51.0,18.0,27.777,54.821,9.459,50.284,mothbeans
10.0,44.0,24.0,30.992,43.021,8.034,58.276,mothbeans
23.0,35.0,18.0,26.49,47.365,5.414,36.993,mothbeans
9.0,60.0,23.0,31.969,57.173,6.276,64.255,mothbeans
3.0,58.0,21.0,25.361,46.826,9.16,55.605,mothbeans
22.0,42.0,22.0,25.542,56.966,7.887,48.467,mothbeans
12.0,39.0,21.0,28.993,62.859,8.183,70.471,mothbeans
39.0,36.0,22.0,29.343,60.503,9.072,34.033,mothbeans
32.0,41.0,16.0,28.636,61.394,7.702,68.548,mothbeans
30.0,41.0,15.0,24.832,44.17,5.885,52.081,mothbeans
19.0,36.0,22.0,25.446,58.553,6.164,57.048,mothbeans
4.0,46.0,15.0,31.012,62.403,3.504,63.771,mothbeans
21.0,39.0,20.0,27.061,52.3,7.388,60.745,mothbeans
35.0,57.0,25.0,27.095,42.262,8.34,71.127,mothbeans
22.0,55.0,24.0,28.568,57.306,8.66,64.53,mothbeans
35.0,51.0,17.0,28.799,49.842,3.558,40.855,mothbeans
17.0,56.0,17.0,27.942,45.413,5.956,69.662,mothbeans
28.0,57.0,17.0,30.477,61.582,9.416,61.866,mothbeans
22.0,36.0,16.0,30.581,50.771,8.184,64.585,mothbeans
11.0,41.0,19.0,26.859,41.814,5.131,44.138,mothbeans
38.0,38.0,18.0,26.31,61.187,6.294,35.734,mothbeans
23.0,37.0,24.0,28.778,44.225,7.991,33.958,mothbeans
25.0,35.0,20.0,28.902,43.353,8.923,71.9,mothbeans
40.0,45.0,20.0,29.376,57.696,6.878,38.343,mothbeans
23.0,58.0,19.0,24.17,58.252,5.243,59.189,mothbeans
2.0,56.0,23.0,26.653,59.79,7.55,36.918,mothbeans
3.0,56.0,17.0,28.199,53.505,8.709,52.135,mothbeans
26.0,51.0,25.0,28.764,52.627,7.792,55.216,mothbeans
39.0,42.0,20.0,29.349,61.253,8.055,40.828,mothbeans
27.0,59.0,20.0,28.009,52.609,4.397,36.012,mothbeans
24.0,45.0,19.0,26.858,48.824,5.952,34.742,mothbeans
7.0,40.0,17.0,31.212,40.926,8.532,53.787,mothbeans
15.0,45.0,23.0,24.204,61.433,7.224,46.02,mothbeans
26.0,52.0,23.0,29.988,49.603,4.931,52.929,mothbeans
20.0,45.0,16.0,29.939,54.618,4.626,45.436,mothbeans
34.0,54.0,24.0,31.211,41.559,5.026,68.801,mothbeans
19.0,51.0,25.0,26.804,48.239,3.525,43.878,mothbeans
29.0,41.0,21.0,31.493,62.849,8.869,64.568,mothbeans
20.0,50.0,22.0,30.996,46.426,9.406,38.315,mothbeans
11.0,40.0,23.0,29.612,63.047,5.804,50.197,mothbeans
15.0,54.0,15.0,29.976,57.031,8.354,44.86,mothbeans
35.0,55.0,22.0,30.888,52.626,8.634,55.519,mothbeans
9.0,59.0,25.0,30.393,60.162,7.699,35.374,mothbeans
40.0,45.0,18.0,30.436,55.205,5.261,30.92,mothbeans
35.0,38.0,19.0,25.326,63.181,9.112,32.711,mothbeans
14.0,58.0,17.0,30.536,59.966,4.605,33.489,mothbeans
40.0,55.0,18.0,30.382,40.592,7.115,47.954,mothbeans
18.0,36.0,23.0,24.018,53.766,7.214,35.034,mothbeans
35.0,52.0,15.0,28.698,61.147,9.935,65.675,mothbeans
4.0,59.0,22.0,29.337,49.003,8.914,42.44,mothbeans
22.0,51.0,16.0,27.965,61.349,8.639,70.104,mothbeans
33.0,47.0,17.0,24.868,48.275,8.621,63.918,mothbeans
2.0,51.0,17.0,25.876,45.963,5.838,38.532,mothbeans
16.0,51.0,21.0,31.019,49.976,3.532,32.812,mothbeans
19.0,55.0,20.0,27.433,87.805,7.185,54.733,mungbean
8.0,54.0,20.0,28.334,80.772,7.034,38.797,mungbean
36.0,55.0,20.0,27.014,84.342,6.635,55.296,mungbean
10.0,56.0,16.0,28.174,81.045,6.828,36.357,mungbean
22.0,56.0,17.0,29.878,87.327,6.89,44.752,mungbean
9.0,57.0,24.0,29.892,89.715,7.165,42.994,mungbean
34.0,59.0,23.0,28.562,83.248,6.935,56.482,mungbean
31.0,51.0,25.0,27.535,85.57,7.196,53.018,mungbean
0.0,49.0,18.0,29.683,87.935,6.99,41.824,mungbean
21.0,39.0,20.0,28.144,82.119,7.064,46.756,mungbean
28.0,35.0,22.0,29.53,86.733,7.156,59.872,mungbean
17.0,52.0,17.0,27.883,86.451,6.364,44.644,mungbean
24.0,42.0,23.0,28.224,82.359,6.428,44.012,mungbean
28.0,46.0,16.0,29.008,84.96,6.664,45.91,mungbean
21.0,38.0,21.0,29.755,86.451,6.637,37.546,mungbean
34.0,60.0,25.0,29.784,85.169,6.793,40.778,mungbean
19.0,53.0,22.0,27.864,80.451,6.852,42.83,mungbean
31.0,58.0,15.0,27.11,84.967,7.121,51.526,mungbean
19.0,35.0,24.0,27.11,83.642,6.883,49.119,mungbean
24.0,53.0,17.0,28.954,89.078,6.421,57.659,mungbean
13.0,47.0,20.0,29.217,87.937,6.544,43.138,mungbean
31.0,53.0,16.0,28.742,85.816,6.452,48.545,mungbean
28.0,45.0,23.0,29.65,80.298,6.489,56.762,mungbean
31.0,37.0,21.0,27.239,86.404,6.713,37.312,mungbean
33.0,60.0,15.0,28.951,81.67,6.51,56.511,mungbean
34.0,45.0,21.0,28.188,82.606,6.287,37.011,mungbean
13.0,57.0,25.0,28.3,86.206,6.863,50.473,mungbean
33.0,57.0,17.0,27.896,88.717,6.784,57.798,mungbean
32.0,57.0,22.0,28.689,87.504,6.769,44.565,mungbean
23.0,59.0,25.0,27.826,88.731,6.32,56.688,mungbean
35.0,41.0,18.0,28.705,81.592,6.705,59.87,mungbean
6.0,48.0,24.0,28.636,84.614,6.79,48.483,mungbean
29.0,36.0,25.0,28.285,88.439,7.13,48.566,mungbean
4.0,36.0,22.0,27.608,86.133,7.012,43.8,mungbean
10.0,59.0,22.0,28.609,86.994,7.155,36.946,mungbean
14.0,48.0,21.0,29.245,84.8,6.991,53.432,mungbean
8.0,50.0,21.0,28.629,89.114,6.218,50.499,mungbean
20.0,40.0,15.0,29.573,88.075,7.199,45.044,mungbean
36.0,43.0,22.0,27.826,87.166,6.389,58.372,mungbean
14.0,57.0,15.0,29.875,83.147,6.623,40.12,mungbean
11.0,60.0,23.0,27.336,88.502,7.033,51.098,mungbean
10.0,59.0,15.0,29.83,89.304,6.324,58.866,mungbean
7.0,60.0,25.0,28.275,82.76,6.397,56.049,mungbean
2.0,47.0,15.0,29.868,85.991,6.401,58.413,mungbean
20.0,45.0,22.0,29.588,89.993,6.904,54.961,mungbean
2.0,39.0,15.0,28.072,82.911,6.478,49.618,mungbean
27.0,40.0,24.0,27.84,89.996,7.063,52.846,mungbean
35.0,48.0,15.0,27.108,87.451,6.981,55.037,mungbean
4.0,59.0,25.0,27.685,81.942,6.227,54.622,mungbean
1.0,48.0,24.0,29.345,85.604,6.232,59.036,mungbean
36.0,43.0,21.0,28.363,84.859,7.14,52.93,mungbean
11.0,46.0,24.0,27.652,89.806,6.459,56.525,mungbean
34.0,47.0,19.0,27.313,85.448,6.568,53.152,mungbean
21.0,44.0,18.0,27.069,86.899,7.128,50.467,mungbean
17.0,58.0,20.0,28.066,85.916,6.429,39.238,mungbean
25.0,40.0,21.0,27.733,81.139,6.248,44.175,mungbean
2.0,38.0,18.0,27.536,89.929,6.619,45.485,mungbean
9.0,48.0,20.0,29.664,84.281,6.377,56.095,mungbean
37.0,49.0,25.0,29.914,85.853,6.415,41.39,mungbean
36.0,38.0,15.0,28.363,87.598,6.32,57.995,mungbean
40.0,58.0,15.0,29.464,87.608,6.978,43.154,mungbean
30.0,44.0,16.0,29.73,82.891,6.442,50.915,mungbean
1.0,59.0,23.0,27.468,87.176,7.184,43.784,mungbean
9.0,48.0,22.0,27.77,87.099,6.402,49.508,mungbean
14.0,41.0,17.0,29.129,88.483,7.085,36.45,mungbean
35.0,52.0,19.0,27.106,89.895,6.698,37.456,mungbean
31.0,48.0,17.0,28.88,86.942,6.594,53.797,mungbean
4.0,41.0,20.0,28.147,83.8,6.647,37.448,mungbean
30.0,37.0,25.0,29.891,80.144,7.12,54.796,mungbean
9.0,35.0,20.0,27.415,80.98,6.913,40.531,mungbean
20.0,41.0,20.0,29.273,89.487,7.073,50.924,mungbean
37.0,50.0,23.0,29.652,88.485,6.53,56.019,mungbean
34.0,35.0,21.0,28.445,82.676,6.684,58.187,mungbean
14.0,37.0,15.0,27.962,83.975,6.581,48.936,mungbean
23.0,39.0,22.0,29.256,81.979,6.864,42.024,mungbean
5.0,45.0,21.0,28.362,88.009,6.487,43.051,mungbean
22.0,37.0,20.0,27.627,86.493,6.605,39.261,mungbean
40.0,51.0,17.0,28.66,86.121,6.86,50.015,mungbean
27.0,56.0,20.0,29.211,87.114,6.418,51.538,mungbean
31.0,40.0,22.0,29.408,86.16,6.365,53.354,mungbean
38.0,36.0,21.0,28.029,84.884,6.556,36.12,mungbean
6.0,37.0,17.0,28.086,80.35,6.76,38.144,mungbean
6.0,47.0,18.0,29.161,80.28,6.715,40.165,mungbean
24.0,44.0,17.0,29.859,80.034,6.666,50.664,mungbean
25.0,59.0,19.0,29.066,83.686,6.626,43.951,mungbean
32.0,56.0,21.0,27.385,88.666,6.702,58.299,mungbean
8.0,45.0,18.0,27.93,85.42,7.011,43.25,mungbean
19.0,39.0,17.0,29.28,81.8,6.89,44.474,mungbean
39.0,37.0,15.0,28.997,83.789,6.821,59.844,mungbean
33.0,37.0,19.0,27.926,86.554,7.183,43.482,mungbean
26.0,54.0,17.0,28.547,88.957,6.272,49.489,mungbean
21.0,51.0,15.0,29.364,89.188,6.679,48.301,mungbean
22.0,54.0,20.0,28.561,83.638,6.689,41.013,mungbean
29.0,45.0,16.0,28.436,87.913,6.583,43.12,mungbean
4.0,40.0,21.0,28.797,80.457,6.725,44.3,mungbean
10.0,37.0,22.0,28.727,89.127,7.069,58.529,mungbean
4.0,44.0,19.0,27.956,83.527,6.921,43.257,mungbean
20.0,45.0,17.0,28.174,83.696,6.77,37.246,mungbean
23.0,45.0,23.0,28.776,86.691,6.983,56.124,mungbean
25.0,48.0,21.0,28.438,83.489,6.267,52.554,mungbean
56.0,79.0,15.0,29.484,63.199,7.454,71.89,blackgram
25.0,62.0,21.0,26.734,68.139,7.04,67.15,blackgram
42.0,61.0,22.0,26.272,62.288,7.418,70.232,blackgram
42.0,73.0,25.0,34.036,67.211,6.501,73.235,blackgram
44.0,58.0,18.0,28.036,65.066,6.814,72.495,blackgram
50.0,55.0,16.0,28.814,65.335,7.581,62.262,blackgram
35.0,72.0,21.0,34.036,64.287,7.741,66.855,blackgram
30.0,64.0,20.0,33.864,61.57,6.573,68.021,blackgram
27.0,64.0,21.0,32.842,68.684,7.543,73.671,blackgram
50.0,74.0,17.0,27.1,63.36,6.54,73.849,blackgram
39.0,73.0,24.0,25.658,61.182,7.224,69.286,blackgram
57.0,67.0,25.0,32.347,66.614,7.551,64.558,blackgram
52.0,63.0,19.0,29.589,68.321,6.928,67.53,blackgram
55.0,66.0,22.0,30.912,68.794,7.747,66.638,blackgram
51.0,56.0,18.0,28.127,64.209,6.706,70.863,blackgram
36.0,66.0,15.0,30.085,69.348,6.668,67.136,blackgram
59.0,55.0,19.0,31.743,62.51,7.332,68.97,blackgram
50.0,58.0,23.0,27.813,62.504,7.596,69.755,blackgram
30.0,65.0,25.0,32.887,64.594,7.706,71.505,blackgram
20.0,62.0,18.0,29.363,64.987,7.366,61.912,blackgram
58.0,71.0,15.0,27.825,67.586,6.919,74.012,blackgram
25.0,71.0,24.0,28.495,60.448,7.187,74.915,blackgram
52.0,71.0,16.0,27.742,68.539,7.075,71.786,blackgram
40.0,63.0,18.0,30.415,67.663,6.744,63.024,blackgram
20.0,60.0,25.0,27.325,69.09,6.726,61.192,blackgram
48.0,61.0,21.0,30.284,61.692,6.628,65.628,blackgram
49.0,68.0,22.0,28.568,61.532,7.127,63.497,blackgram
48.0,62.0,15.0,25.365,66.637,7.538,65.816,blackgram
32.0,66.0,17.0,34.946,65.267,7.162,70.141,blackgram
21.0,63.0,22.0,25.097,67.728,6.859,74.616,blackgram
20.0,72.0,19.0,32.476,64.348,7.397,65.82,blackgram
25.0,65.0,21.0,33.863,68.592,6.88,69.244,blackgram
41.0,78.0,21.0,25.198,60.373,6.581,70.887,blackgram
53.0,67.0,17.0,31.776,69.018,7.296,61.468,blackgram
39.0,60.0,21.0,34.898,63.599,6.972,64.727,blackgram
25.0,76.0,17.0,31.741,68.635,7.241,62.306,blackgram
21.0,78.0,19.0,27.161,66.76,6.92,69.851,blackgram
57.0,60.0,17.0,26.237,67.885,7.504,73.586,blackgram
56.0,75.0,15.0,30.201,60.065,7.152,66.371,blackgram
49.0,72.0,15.0,31.558,67.835,7.137,74.869,blackgram
24.0,80.0,19.0,29.678,69.085,6.808,65.664,blackgram
49.0,76.0,18.0,27.053,67.701,7.393,60.469,blackgram
28.0,68.0,19.0,34.638,61.385,7.699,72.431,blackgram
55.0,78.0,21.0,33.394,62.936,6.602,63.574,blackgram
50.0,64.0,25.0,28.84,63.372,6.734,70.254,blackgram
34.0,80.0,19.0,31.493,63.056,6.521,71.483,blackgram
20.0,68.0,23.0,25.549,63.954,7.707,63.183,blackgram
55.0,67.0,16.0,34.373,69.693,6.596,70.271,blackgram
23.0,70.0,15.0,34.6,63.112,7.403,60.417,blackgram
53.0,74.0,15.0,29.434,64.943,7.517,72.178,blackgram
26.0,67.0,16.0,29.107,67.905,7.176,67.833,blackgram
33.0,80.0,22.0,28.57,65.717,6.593,70.086,blackgram
37.0,79.0,19.0,27.543,69.347,7.143,69.408,blackgram
33.0,75.0,21.0,33.046,68.938,6.69,62.302,blackgram
22.0,55.0,20.0,33.953,69.961,7.423,61.163,blackgram
20.0,68.0,17.0,30.118,60.116,6.578,71.729,blackgram
43.0,68.0,20.0,29.578,66.175,7.497,69.438,blackgram
44.0,76.0,22.0,27.264,68.012,7.775,68.917,blackgram
34.0,60.0,16.0,31.357,64.249,7.322,63.856,blackgram
21.0,72.0,17.0,31.521,66.557,7.58,61.711,blackgram
25.0,68.0,19.0,29.399,64.255,7.108,67.476,blackgram
41.0,62.0,15.0,29.384,64.149,7.358,65.241,blackgram
28.0,65.0,23.0,28.386,61.888,7.405,74.244,blackgram
35.0,64.0,15.0,28.474,63.536,6.5,69.527,blackgram
52.0,58.0,16.0,30.64,61.145,7.167,71.369,blackgram
58.0,75.0,25.0,25.255,61.366,7.261,68.646,blackgram
34.0,66.0,19.0,32.97,60.181,7.586,73.446,blackgram
52.0,70.0,16.0,33.668,66.604,7.534,67.325,blackgram
23.0,57.0,19.0,32.839,67.998,7.251,73.404,blackgram
42.0,58.0,25.0,27.458,62.9,6.513,69.46,blackgram
37.0,62.0,17.0,25.685,69.843,7.121,74.62,blackgram
44.0,75.0,22.0,30.032,64.148,7.574,71.21,blackgram
21.0,80.0,20.0,28.206,68.27,7.35,64.328,blackgram
56.0,76.0,16.0,28.272,61.189,7.513,63.299,blackgram
29.0,76.0,15.0,28.541,64.202,7.025,69.688,blackgram
43.0,61.0,20.0,26.871,61.613,6.804,63.518,blackgram
55.0,60.0,15.0,32.797,68.779,7.163,64.114,blackgram
44.0,63.0,15.0,26.423,64.511,7.338,63.465,blackgram
29.0,67.0,21.0,29.791,63.387,6.621,63.021,blackgram
47.0,63.0,16.0,27.44,67.104,6.661,72.506,blackgram
40.0,68.0,17.0,34.126,65.148,7.733,70.407,blackgram
58.0,61.0,15.0,30.949,64.233,7.402,62.787,blackgram
41.0,74.0,18.0,28.757,61.027,6.599,73.376,blackgram
58.0,79.0,17.0,27.247,66.101,7.041,62.318,blackgram
27.0,62.0,24.0,28.63,66.77,7.353,62.273,blackgram
27.0,60.0,17.0,26.417,63.646,7.026,64.421,blackgram
52.0,65.0,20.0,32.817,66.156,6.814,68.839,blackgram
44.0,55.0,25.0,29.632,65.913,7.421,71.163,blackgram
21.0,62.0,24.0,33.49,62.733,6.847,65.453,blackgram
60.0,59.0,22.0,31.868,66.742,7.191,74.222,blackgram
33.0,77.0,21.0,30.329,65.629,7.012,71.646,blackgram
59.0,58.0,17.0,28.546,66.313,7.368,62.834,blackgram
29.0,63.0,17.0,30.026,67.888,7.261,66.472,blackgram
59.0,63.0,18.0,31.655,60.132,6.526,66.69,blackgram
29.0,70.0,15.0,30.334,63.547,6.872,74.166,blackgram
58.0,73.0,16.0,33.369,65.677,6.874,64.895,blackgram
55.0,77.0,22.0,31.434,62.993,7.76,64.776,blackgram
42.0,79.0,23.0,27.716,63.291,6.781,68.565,blackgram
44.0,77.0,21.0,32.639,61.3,7.326,61.838,blackgram
38.0,62.0,25.0,32.747,67.779,7.453,63.377,blackgram
32.0,76.0,15.0,28.051,63.498,7.604,43.357,lentil
13.0,61.0,22.0,19.44,63.277,7.728,46.831,lentil
38.0,60.0,20.0,29.848,60.638,7.491,46.804,lentil
11.0,74.0,17.0,21.363,69.923,6.633,46.635,lentil
37.0,71.0,16.0,26.286,68.519,7.324,46.138,lentil
29.0,71.0,18.0,22.174,62.138,6.41,53.466,lentil
2.0,72.0,18.0,26.575,60.978,7.836,50.891,lentil
6.0,59.0,21.0,26.589,66.14,6.139,50.909,lentil
13.0,64.0,20.0,19.134,62.575,6.59,36.469,lentil
8.0,58.0,17.0,28.752,69.156,7.286,35.154,lentil
6.0,77.0,20.0,25.787,60.281,6.058,49.143,lentil
2.0,75.0,22.0,23.892,61.787,6.658,52.557,lentil
3.0,69.0,23.0,28.674,63.188,7.299,42.96,lentil
27.0,80.0,24.0,28.42,61.773,7.815,49.023,lentil
39.0,78.0,15.0,21.354,62.601,5.925,41.782,lentil
40.0,79.0,17.0,21.126,63.187,6.403,38.718,lentil
37.0,62.0,22.0,24.02,61.623,7.397,49.781,lentil
31.0,60.0,24.0,25.404,65.856,7.722,51.92,lentil
22.0,67.0,22.0,29.03,64.491,7.475,54.939,lentil
3.0,78.0,18.0,20.213,68.652,6.887,50.897,lentil
4.0,80.0,16.0,29.195,68.019,7.441,44.932,lentil
13.0,61.0,24.0,18.297,69.689,7.629,49.391,lentil
12.0,66.0,20.0,27.414,63.417,7.336,44.431,lentil
4.0,61.0,21.0,24.84,60.091,6.75,48.777,lentil
9.0,60.0,21.0,29.944,67.313,7.521,40.371,lentil
18.0,66.0,22.0,25.879,67.551,6.347,47.896,lentil
32.0,56.0,18.0,20.046,65.843,7.135,46.053,lentil
6.0,72.0,15.0,22.994,66.708,7.67,54.49,lentil
15.0,77.0,20.0,25.131,66.926,7.399,49.04,lentil
0.0,65.0,24.0,28.495,62.446,7.841,53.145,lentil
30.0,79.0,22.0,18.287,69.485,6.254,48.604,lentil
3.0,63.0,16.0,24.38,61.184,6.868,53.139,lentil
2.0,78.0,23.0,21.318,66.439,7.32,45.426,lentil
10.0,78.0,18.0,18.541,62.706,6.296,44.078,lentil
14.0,67.0,25.0,25.287,60.859,7.241,49.373,lentil
39.0,65.0,23.0,25.434,69.126,7.685,41.026,lentil
19.0,72.0,15.0,28.836,69.761,6.89,44.085,lentil
18.0,57.0,21.0,27.376,63.939,6.155,49.473,lentil
31.0,58.0,15.0,28.318,60.194,6.167,45.365,lentil
28.0,58.0,25.0,27.481,62.048,6.861,37.811,lentil
5.0,65.0,19.0,18.28,68.103,6.978,48.802,lentil
